Arquivo_Origem,Segmento_ID,Inicio(s),Fim(s),Duracao(s),Routing_Model,Routing_Reason,Texto_Transcrito,Custo_Estimado,SNR
10_20250907210004.webm,10_20250907210004.webm_seg_1,N/A,N/A,0.89,assemblyai,Local Logic,,0.005,32.70
10_20250907210404.webm,10_20250907210404.webm_seg_1,N/A,N/A,0.44,assemblyai,Local Logic,,0.005,43.20
10_20250907210404.webm,10_20250907210404.webm_seg_2,N/A,N/A,1.05,assemblyai,Local Logic,,0.005,46.69
10_20250907210404.webm,10_20250907210404.webm_seg_3,N/A,N/A,2.11,assemblyai,Local Logic,,0.005,44.71
10_20250907210404.webm,10_20250907210404.webm_seg_4,N/A,N/A,1.82,assemblyai,Local Logic,,0.005,43.27
10_20250907210504.webm,10_20250907210504.webm_seg_1,N/A,N/A,0.41,assemblyai,Local Logic,,0.005,34.12
10_20250907210504.webm,10_20250907210504.webm_seg_2,N/A,N/A,1.60,assemblyai,Local Logic,,0.005,48.89
10_20250907210504.webm,10_20250907210504.webm_seg_3,N/A,N/A,2.94,assemblyai,Local Logic,,0.005,49.04
10_20250907210504.webm,10_20250907210504.webm_seg_4,N/A,N/A,2.20,assemblyai,Local Logic,,0.005,45.88
10_20250907210504.webm,10_20250907210504.webm_seg_5,N/A,N/A,0.80,assemblyai,Local Logic,,0.005,39.80
10_20250907210504.webm,10_20250907210504.webm_seg_6,N/A,N/A,0.64,assemblyai,Local Logic,,0.005,49.31
10_20250907210604.webm,10_20250907210604.webm_seg_1,N/A,N/A,0.57,assemblyai,Local Logic,,0.005,50.79
10_20250907210604.webm,10_20250907210604.webm_seg_2,N/A,N/A,1.53,assemblyai,Local Logic,,0.005,46.61
10_20250907210604.webm,10_20250907210604.webm_seg_3,N/A,N/A,0.35,assemblyai,Local Logic,,0.005,36.46
10_20250907210804.webm,10_20250907210804.webm_seg_1,N/A,N/A,0.64,assemblyai,Local Logic,,0.005,46.18
10_20250907210804.webm,10_20250907210804.webm_seg_2,N/A,N/A,1.08,assemblyai,Local Logic,,0.005,49.52
10_20250907210804.webm,10_20250907210804.webm_seg_3,N/A,N/A,0.80,assemblyai,Local Logic,,0.005,52.67
10_20250907210804.webm,10_20250907210804.webm_seg_4,N/A,N/A,0.99,assemblyai,Local Logic,,0.005,45.99
10_20250907210804.webm,10_20250907210804.webm_seg_5,N/A,N/A,0.57,assemblyai,Local Logic,,0.005,37.41
10_20250907210804.webm,10_20250907210804.webm_seg_6,N/A,N/A,0.57,assemblyai,Local Logic,,0.005,48.16
10_20250907210804.webm,10_20250907210804.webm_seg_7,N/A,N/A,1.08,assemblyai,Local Logic,,0.005,38.45
10_20250907210804.webm,10_20250907210804.webm_seg_8,N/A,N/A,1.31,assemblyai,Local Logic,,0.005,41.35
10_20250907210804.webm,10_20250907210804.webm_seg_9,N/A,N/A,3.90,assemblyai,Local Logic,,0.005,43.15
10_20250907210804.webm,10_20250907210804.webm_seg_10,N/A,N/A,1.88,assemblyai,Local Logic,,0.005,47.22
10_20250907210804.webm,10_20250907210804.webm_seg_11,N/A,N/A,0.51,assemblyai,Local Logic,,0.005,48.32
10_20250907210904.webm,10_20250907210904.webm_seg_1,N/A,N/A,0.99,assemblyai,Local Logic,,0.005,38.81
10_20250907210904.webm,10_20250907210904.webm_seg_2,N/A,N/A,1.31,assemblyai,Local Logic,,0.005,42.41
10_20250907210904.webm,10_20250907210904.webm_seg_3,N/A,N/A,0.83,assemblyai,Local Logic,,0.005,40.34
10_20250907210904.webm,10_20250907210904.webm_seg_4,N/A,N/A,0.54,assemblyai,Local Logic,,0.005,33.46
10_20250907210904.webm,10_20250907210904.webm_seg_5,N/A,N/A,4.12,assemblyai,Local Logic,,0.005,47.07
