Arquivo_Origem,Segmento_ID,Inicio(s),Fim(s),Duracao(s),Routing_Model,Routing_Reason,Texto_Transcrito,Custo_Estimado,SNR
7_20250702092849.webm,7_20250702092849.webm_seg_1,N/A,N/A,3.04,assemblyai,Local Logic,,0.005,41.03
7_20250702092849.webm,7_20250702092849.webm_seg_2,N/A,N/A,1.31,assemblyai,Local Logic,,0.005,36.72
8_20250702092748.webm,8_20250702092748.webm_seg_1,N/A,N/A,1.66,assemblyai,Local Logic,,0.005,58.25
8_20250702092748.webm,8_20250702092748.webm_seg_2,N/A,N/A,0.96,assemblyai,Local Logic,,0.005,47.81
8_20250702092748.webm,8_20250702092748.webm_seg_3,N/A,N/A,1.21,assemblyai,Local Logic,,0.005,36.93
8_20250702092748.webm,8_20250702092748.webm_seg_4,N/A,N/A,1.50,assemblyai,Local Logic,,0.005,51.64
8_20250702092748.webm,8_20250702092748.webm_seg_5,N/A,N/A,1.44,assemblyai,Local Logic,,0.005,48.26
8_20250702092950.webm,8_20250702092950.webm_seg_1,N/A,N/A,1.56,assemblyai,Local Logic,,0.005,53.32
8_20250702092950.webm,8_20250702092950.webm_seg_2,N/A,N/A,0.83,assemblyai,Local Logic,,0.005,41.07
8_20250702092950.webm,8_20250702092950.webm_seg_3,N/A,N/A,0.73,assemblyai,Local Logic,,0.005,42.80
8_20250702092950.webm,8_20250702092950.webm_seg_4,N/A,N/A,1.34,assemblyai,Local Logic,,0.005,38.07
8_20250702092950.webm,8_20250702092950.webm_seg_5,N/A,N/A,1.72,assemblyai,Local Logic,,0.005,46.61
8_20250702092950.webm,8_20250702092950.webm_seg_6,N/A,N/A,3.23,assemblyai,Local Logic,,0.005,41.47
8_20250702092950.webm,8_20250702092950.webm_seg_7,N/A,N/A,2.59,assemblyai,Local Logic,,0.005,53.17
8_20250702092950.webm,8_20250702092950.webm_seg_8,N/A,N/A,0.41,assemblyai,Local Logic,,0.005,52.15
8_20250702092950.webm,8_20250702092950.webm_seg_9,N/A,N/A,1.40,assemblyai,Local Logic,,0.005,51.23
8_20250702092950.webm,8_20250702092950.webm_seg_10,N/A,N/A,4.35,assemblyai,Local Logic,,0.005,44.46
8_20250702092950.webm,8_20250702092950.webm_seg_11,N/A,N/A,2.46,assemblyai,Local Logic,,0.005,49.78
8_20250702092950.webm,8_20250702092950.webm_seg_12,N/A,N/A,0.57,assemblyai,Local Logic,,0.005,52.45
8_20250702092950.webm,8_20250702092950.webm_seg_13,N/A,N/A,0.80,assemblyai,Local Logic,,0.005,50.49
8_20250702092950.webm,8_20250702092950.webm_seg_14,N/A,N/A,2.36,assemblyai,Local Logic,,0.005,47.33
8_20250702092950.webm,8_20250702092950.webm_seg_15,N/A,N/A,3.20,assemblyai,Local Logic,,0.005,49.38
8_20250702092950.webm,8_20250702092950.webm_seg_16,N/A,N/A,0.76,assemblyai,Local Logic,,0.005,35.19
8_20250702092950.webm,8_20250702092950.webm_seg_17,N/A,N/A,0.54,assemblyai,Local Logic,,0.005,56.02
8_20250702092950.webm,8_20250702092950.webm_seg_18,N/A,N/A,1.53,assemblyai,Local Logic,,0.005,49.48
8_20250702092950.webm,8_20250702092950.webm_seg_19,N/A,N/A,2.27,assemblyai,Local Logic,,0.005,47.66
8_20250702092950.webm,8_20250702092950.webm_seg_20,N/A,N/A,0.73,assemblyai,Local Logic,,0.005,53.90
8_20250702092950.webm,8_20250702092950.webm_seg_21,N/A,N/A,0.70,assemblyai,Local Logic,,0.005,50.55
8_20250702092950.webm,8_20250702092950.webm_seg_22,N/A,N/A,0.41,assemblyai,Local Logic,,0.005,44.20
8_20250702092950.webm,8_20250702092950.webm_seg_23,N/A,N/A,2.72,assemblyai,Local Logic,,0.005,46.60
8_20250702092950.webm,8_20250702092950.webm_seg_24,N/A,N/A,0.86,assemblyai,Local Logic,,0.005,51.35
8_20250702092950.webm,8_20250702092950.webm_seg_25,N/A,N/A,0.83,assemblyai,Local Logic,,0.005,40.47
8_20250702092950.webm,8_20250702092950.webm_seg_26,N/A,N/A,3.04,assemblyai,Local Logic,,0.005,41.13
8_20250702092950.webm,8_20250702092950.webm_seg_27,N/A,N/A,0.73,assemblyai,Local Logic,,0.005,51.64
8_20250702092950.webm,8_20250702092950.webm_seg_28,N/A,N/A,0.64,assemblyai,Local Logic,,0.005,47.21
8_20250702092950.webm,8_20250702092950.webm_seg_29,N/A,N/A,1.34,assemblyai,Local Logic,,0.005,47.56
8_20250702092950.webm,8_20250702092950.webm_seg_30,N/A,N/A,0.70,assemblyai,Local Logic,,0.005,35.26
