Arquivo_Origem,Segmento_ID,Inicio(s),Fim(s),Duracao(s),Routing_Model,Routing_Reason,Texto_Transcrito,Custo_Estimado,SNR
8_20250702093051.webm,8_20250702093051.webm_seg_1,0.29,1.37,1.08,assemblyai,,,0.0050,53.41
8_20250702093051.webm,8_20250702093051.webm_seg_2,1.63,5.12,3.48,assemblyai,,,0.0050,49.52
8_20250702093051.webm,8_20250702093051.webm_seg_4,5.95,11.39,5.44,elevenlabs,,,0.0500,50.32
8_20250702093051.webm,8_20250702093051.webm_seg_6,12.58,15.04,2.46,assemblyai,,,0.0050,53.06
8_20250702093051.webm,8_20250702093051.webm_seg_7,15.20,23.55,8.35,elevenlabs,,,0.0500,52.23
8_20250702093051.webm,8_20250702093051.webm_seg_8,24.00,32.03,8.03,elevenlabs,,,0.0500,49.05
8_20250702093051.webm,8_20250702093051.webm_seg_9,32.55,37.95,5.40,elevenlabs,,,0.0500,49.33
8_20250702093051.webm,8_20250702093051.webm_seg_10,38.08,41.25,3.16,assemblyai,,,0.0050,48.16
8_20250702093051.webm,8_20250702093051.webm_seg_12,42.53,43.87,1.34,assemblyai,,,0.0050,58.19
8_20250702093051.webm,8_20250702093051.webm_seg_13,44.45,46.11,1.66,assemblyai,,,0.0050,54.67
8_20250702093051.webm,8_20250702093051.webm_seg_14,46.24,47.74,1.50,assemblyai,,,0.0050,38.44
8_20250702093051.webm,8_20250702093051.webm_seg_15,48.45,49.95,1.50,assemblyai,,,0.0050,56.89
8_20250702093051.webm,8_20250702093051.webm_seg_16,50.34,52.73,2.40,assemblyai,,,0.0050,52.51
10_20250907220404.webm,10_20250907220404.webm_seg_1,7.81,8.89,1.08,assemblyai,,,0.0050,42.48
10_20250907220404.webm,10_20250907220404.webm_seg_2,9.09,10.46,1.37,assemblyai,,,0.0050,36.51
10_20250907220404.webm,10_20250907220404.webm_seg_4,18.95,21.73,2.78,assemblyai,,,0.0050,47.57
10_20250907220404.webm,10_20250907220404.webm_seg_5,22.37,23.58,1.21,assemblyai,,,0.0050,41.49
10_20250907220404.webm,10_20250907220404.webm_seg_6,25.19,27.04,1.85,assemblyai,,,0.0050,50.17
10_20250907220404.webm,10_20250907220404.webm_seg_9,31.65,34.14,2.49,assemblyai,,,0.0050,42.38
10_20250907211604.webm,10_20250907211604.webm_seg_1,4.83,5.98,1.15,assemblyai,,,0.0050,34.39
10_20250907211404.webm,10_20250907211404.webm_seg_1,41.44,42.59,1.15,assemblyai,,,0.0050,51.12
10_20250907225704.webm,10_20250907225704.webm_seg_4,28.23,30.53,2.30,assemblyai,,,0.0050,37.90
10_20250907225704.webm,10_20250907225704.webm_seg_5,32.35,35.10,2.75,assemblyai,,,0.0050,50.80
10_20250907225704.webm,10_20250907225704.webm_seg_7,39.52,41.12,1.60,assemblyai,,,0.0050,40.49
10_20250907225704.webm,10_20250907225704.webm_seg_8,41.22,43.71,2.49,assemblyai,,,0.0050,43.80
7_20250702092849.webm,7_20250702092849.webm_seg_1,50.37,53.41,3.04,assemblyai,,,0.0050,41.03
7_20250702092849.webm,7_20250702092849.webm_seg_2,53.54,54.85,1.31,assemblyai,,,0.0050,36.72
10_20250907224104.webm,10_20250907224104.webm_seg_1,0.67,2.69,2.01,assemblyai,,,0.0050,43.76
10_20250907224104.webm,10_20250907224104.webm_seg_2,4.16,5.44,1.28,assemblyai,,,0.0050,44.31
10_20250907210504.webm,10_20250907210504.webm_seg_2,27.07,28.67,1.60,assemblyai,,,0.0050,48.89
10_20250907210504.webm,10_20250907210504.webm_seg_3,29.12,32.06,2.94,assemblyai,,,0.0050,49.04
10_20250907210504.webm,10_20250907210504.webm_seg_4,34.50,36.70,2.20,assemblyai,,,0.0050,45.88
10_20250907221504.webm,10_20250907221504.webm_seg_1,1.44,8.03,6.59,elevenlabs,,,0.0500,41.19
